Id,Country,Name,Latitude,Longitude,Status,National_C,CTRY,MCA,UNLocode
3720,"GBR","Stonehaven","56.959724000000001","-2.199983000000000","UNECE/ERS",,,,
3721,"GBR","Stranraer","54.910339000000000","-5.026630000000000","UNECE/ERS",,,,
3722,"GBR","Stratford-upon-Avon","52.191934000000003","-1.700560000000000","UNECE/ERS",,,,
3723,"GBR","Strathaird","57.175075000000000","-6.048987000000000","UNECE/ERS",,,,
3724,"GBR","Stroma","58.669922999999997","-3.117999000000000","UNECE/ERS",,,,
3727,"GBR","Sutton Bridge","52.777934000000002","0.201290000000000","UNECE/ERS",,,,
3728,"GBR","Swanage","50.609315000000002","-1.949244000000000","UNECE/ERS",,,,
3730,"GBR","Symbister","60.342934999999997","-1.028924000000000","UNECE/ERS",,,,
3731,"GBR","Talmine","58.533169999999998","-4.427032000000000","UNECE/ERS",,,,
3732,"GBR","Tayinloan","55.658628000000000","-5.670084000000000","UNECE/ERS",,,,
3734,"GBR","Tayvallich","56.024071999999997","-5.624349000000000","UNECE/ERS",,,,
3736,"GBR","Tenby","51.673352999999999","-4.697953000000000","UNECE/ERS",,,,
3737,"GBR","Thames Haven","51.506386999999997","0.514934000000000","UNECE/ERS",,,,
3740,"GBR","Tighnabruaich","55.910257000000001","-5.223634000000000","UNECE/ERS",,,,
3743,"GBR","Toberonochy","56.216721000000000","-5.629914000000000","UNECE/ERS",,,,
3744,"GBR","Toft","60.466650999999999","-1.206607000000000","UNECE/ERS",,,,
3746,"GBR","Torpoint","50.375264000000001","-4.192874000000000","UNECE/ERS",,,,
3747,"GBR","TorQuay","50.458191999999997","-3.528137000000000","UNECE/ERS",,,,
3748,"GBR","Torridon","57.549643000000003","-5.520803000000000","UNECE/ERS",,,,
3750,"GBR","Trearddur","53.280137000000003","-4.621047000000000","UNECE/ERS",,,,
3751,"GBR","Tresco","49.955888999999999","-6.341205000000000","UNECE/ERS",,,,
3753,"GBR","Tudweiliog","52.904727999999999","-4.649270000000000","UNECE/ERS",,,,
3754,"GBR","Tyddewi (St David's)","51.868209000000000","-5.280887000000000","UNECE/ERS",,,,
3756,"GBR","Uig","57.585579000000003","-6.371507000000000","UNECE/ERS",,,,
3757,"GBR","Ulsta, Yell","60.496043999999998","-1.158026000000000","UNECE/ERS",,,,
3758,"GBR","Ulva Ferry","56.481366000000001","-6.149996000000000","UNECE/ERS",,,,
3759,"GBR","Uyeasound and Baltasound","60.688084000000003","-0.916504000000000","UNECE/ERS",,,,
3760,"GBR","Ventnor","50.592432000000002","-1.204806000000000","UNECE/ERS",,,,
3761,"GBR","Vidlin","60.372793999999999","-1.129409000000000","UNECE/ERS",,,,
3762,"GBR","Voe","60.351070999999997","-1.265921000000000","UNECE/ERS",,,,
3763,"GBR","Wadebridge","50.520572000000001","-4.838818000000000","UNECE/ERS",,,,
3764,"GBR","Wakefield","53.675617000000003","-1.492815000000000","UNECE/ERS",,,,
3765,"GBR","Walker","54.967931999999998","-1.536628000000000","UNECE/ERS",,,,
3767,"GBR","Walls","60.226719000000003","-1.562892000000000","UNECE/ERS",,,,
3768,"GBR","Walmer","51.213462999999997","1.404262000000000","UNECE/ERS",,,,
3769,"GBR","Wareham","50.683987000000002","-2.109822000000000","UNECE/ERS",,,,
3771,"GBR","Watchet","51.183593000000002","-3.328497000000000","UNECE/ERS",,,,
3772,"GBR","Waterfoot","55.065786000000003","-6.053117000000000","UNECE/ERS",,,,
3773,"GBR","Wells-next-the-Sea","52.957141999999997","0.854674000000000","UNECE/ERS",,,,
3775,"GBR","West Bay","50.708768999999997","-2.764088000000000","UNECE/ERS",,,,
3776,"GBR","West Burrafirth","60.295506000000003","-1.539968000000000","UNECE/ERS",,,,
3777,"GBR","West Kirby","53.363883000000001","-3.181445000000000","UNECE/ERS",,,,
3778,"GBR","West Loch Tarbert","55.850492000000003","-5.447728000000000","UNECE/ERS",,,,
3779,"GBR","West Mersea","51.775781000000002","0.899665000000000","UNECE/ERS",,,,
3780,"GBR","West Wemyss","56.139324000000002","-3.090918000000000","UNECE/ERS",,,,
