row;H3_hex_8;H3_int_index_8
170;881e90c193fffff;613027262471602175
171;881ea3c4d5fffff;613028569016172543
172;881e818d1bfffff;613026217594978303
173;881e836203fffff;613026343466041343
174;883f343921fffff;613601445792448511
175;881e9bba3dfffff;613028016416620543
176;881e99794dfffff;613027861546139647
177;881e8bb181fffff;613026914560376831
178;881e86a9cdfffff;613026568895201279
179;883f265003fffff;613600489862332415
180;881e92d713fffff;613027405681917951
181;881e948557fffff;613027521180467199
182;881e880f47fffff;613026664854585343
183;881e818d19fffff;613026217592881151
184;881eb129bbfffff;613029489454088191
185;881e881823fffff;613026667232755711
186;881e9bb0b3fffff;613028013855997951
187;881e9ba861fffff;613028011622531071
188;881eb190cdfffff;613029517121814527
189;881eb191d9fffff;613029517402832895
190;881ea54a83fffff;613028673620017151
191;881eb1903bfffff;613029516968722431
192;881e8b2869fffff;613026877759553535
193;88384d8e2bfffff;613480041304555519
194;881e9a2185fffff;613027906702016511
195;883f34ce05fffff;613601485759971327
196;881e859257fffff;613026493877977087
197;881e8592c5fffff;613026493993320447
198;881ea32d35fffff;613028528314646527
199;881eb11b0bfffff;613029485511442431
200;881e997b37fffff;613027862059941887
201;88386d2dbdfffff;613482214442663935
202;881e8b286bfffff;613026877761650687
203;881e94ab5bfffff;613027531385208831
204;881ea52361fffff;613028663115382783
205;881e82b087fffff;613026295822942207
206;881ea3c6e1fffff;613028569565626367
207;883f3476c9fffff;613601462343172095
208;881e83112bfffff;613026321764712447
209;881eb11a01fffff;613029485232521215
210;881eb498a3fffff;613029725383688191
211;881e9baa23fffff;613028012094390271
212;881e86ab33fffff;613026569270591487
213;881eb5bacdfffff;613029803274010623
214;881ea300cdfffff;613028516394434559
215;881e86a957fffff;613026568771469311
216;881e8362e5fffff;613026343703019519
217;881e86a9c7fffff;613026568888909823
218;881e9414a7fffff;613027490931146751
219;883f34ce63fffff;613601485858537471
220;881e8b2863fffff;613026877753262079
221;881e831109fffff;613026321729060863
222;881eb1118dfffff;613029482963402751
223;881eb498a1fffff;613029725381591039
224;883f34cf5bfffff;613601486118584319
225;881eb11a0dfffff;613029485245104127
226;88386d2db5fffff;613482214434275327
227;881e8360c5fffff;613026343132594175
228;881eb1cc91fffff;613029533165027327
229;881e94a85dfffff;613027530581999615
230;881eb1299bfffff;613029489420533759
231;881ea53853fffff;613028668737847295
232;881e994c93fffff;613027849539944447
233;881e8592c9fffff;613026493997514751
234;881eb156c1fffff;613029501539975167
235;883f34ce2bfffff;613601485799817215
236;881e9b8a9bfffff;613028003630284799
237;881eb115b1fffff;613029484074893311
238;881e92d615fffff;613027405415579647
239;881e86a913fffff;613026568700166143
240;881e9ba817fffff;613028011544936447
241;881ea0a117fffff;613028353263271935
