row;Country;Name;UNLocode;Latitude;Longitude;H3_hex_8;H3_int_index_8;H3_ring;H3_res;type
0;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54ad5fffff;613028673706000383;-1;8;green
1;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54ac3fffff;613028673687126015;-1;8;green
2;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54a89fffff;613028673626308607;-1;8;green
3;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54a8bfffff;613028673628405759;-1;8;green
4;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54ad7fffff;613028673708097535;-1;8;green
5;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54ad1fffff;613028673701806079;-1;8;green
6;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54addfffff;613028673714388991;-1;8;green
7;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54acbfffff;613028673695514623;-1;8;green
8;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54ac1fffff;613028673685028863;-1;8;green
9;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54ac7fffff;613028673691320319;-1;8;green
10;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54a8dfffff;613028673630502911;-1;8;green
11;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54a81fffff;613028673617919999;-1;8;green
12;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54a83fffff;613028673620017151;-1;8;green
13;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54a9dfffff;613028673647280127;-1;8;green
14;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54a99fffff;613028673643085823;-1;8;green
15;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54ad3fffff;613028673703903231;-1;8;green
16;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54adbfffff;613028673712291839;-1;8;green
17;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54ad9fffff;613028673710194687;-1;8;green
18;ITA;Fusina;ITFSA;45.422091;12.256319;881ea54137fffff;613028671124406271;-1;8;green
19;ITA;Genova;ITGOA;44.399822;8.924361;881f9b0887fffff;613045560898748415;-1;8;green
20;ITA;Genova;ITGOA;44.399822;8.924361;881f9b0885fffff;613045560896651263;-1;8;green
21;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08abfffff;613045560936497151;-1;8;green
22;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08bdfffff;613045560955371519;-1;8;green
23;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08b9fffff;613045560951177215;-1;8;green
24;ITA;Genova;ITGOA;44.399822;8.924361;881f9b0883fffff;613045560894554111;-1;8;green
25;ITA;Genova;ITGOA;44.399822;8.924361;881f9b0881fffff;613045560892456959;-1;8;green
26;ITA;Genova;ITGOA;44.399822;8.924361;881f9b088dfffff;613045560905039871;-1;8;green
27;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08e3fffff;613045560995217407;-1;8;green
28;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08a9fffff;613045560934399999;-1;8;green
29;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08a1fffff;613045560926011391;-1;8;green
30;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08a3fffff;613045560928108543;-1;8;green
31;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08b5fffff;613045560946982911;-1;8;green
32;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08b1fffff;613045560942788607;-1;8;green
33;ITA;Genova;ITGOA;44.399822;8.924361;881f9b08bbfffff;613045560953274367;-1;8;green
34;ITA;Genova;ITGOA;44.399822;8.924361;881f9b0895fffff;613045560913428479;-1;8;green
35;ITA;Genova;ITGOA;44.399822;8.924361;881f9b089dfffff;613045560921817087;-1;8;green
36;ITA;Genova;ITGOA;44.399822;8.924361;881f9b088bfffff;613045560902942719;-1;8;green
37;ITA;Genova;ITGOA;44.399822;8.924361;881f9b0889fffff;613045560900845567;-1;8;green
38;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54101fffff;613028671067783167;-1;8;green
39;ITA;Marghera;ITPMA;45.465793;12.233153;881ea5410dfffff;613028671080366079;-1;8;green
40;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54105fffff;613028671071977471;-1;8;green
41;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54107fffff;613028671074074623;-1;8;green
42;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54103fffff;613028671069880319;-1;8;green
43;ITA;Marghera;ITPMA;45.465793;12.233153;881ea5410bfffff;613028671078268927;-1;8;green
44;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54109fffff;613028671076171775;-1;8;green
45;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54147fffff;613028671141183487;-1;8;green
46;ITA;Marghera;ITPMA;45.465793;12.233153;881ea5416bfffff;613028671178932223;-1;8;green
47;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54163fffff;613028671170543615;-1;8;green
48;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54129fffff;613028671109726207;-1;8;green
49;ITA;Marghera;ITPMA;45.465793;12.233153;881ea5412bfffff;613028671111823359;-1;8;green
50;ITA;Marghera;ITPMA;45.465793;12.233153;881ea5413dfffff;613028671130697727;-1;8;green
51;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54139fffff;613028671126503423;-1;8;green
52;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54115fffff;613028671088754687;-1;8;green
53;ITA;Marghera;ITPMA;45.465793;12.233153;881ea5411dfffff;613028671097143295;-1;8;green
54;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54157fffff;613028671157960703;-1;8;green
55;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54155fffff;613028671155863551;-1;8;green
56;ITA;Marghera;ITPMA;45.465793;12.233153;881ea54143fffff;613028671136989183;-1;8;green
57;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bb869fffff;613028015925886975;-1;8;green
58;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bbb17fffff;613028016645210111;-1;8;green
59;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bb86dfffff;613028015930081279;-1;8;green
60;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bb861fffff;613028015917498367;-1;8;green
61;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bb86bfffff;613028015927984127;-1;8;green
62;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bb845fffff;613028015888138239;-1;8;green
63;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bbb13fffff;613028016641015807;-1;8;green
64;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bbb11fffff;613028016638918655;-1;8;green
65;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bbb15fffff;613028016643112959;-1;8;green
66;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bbb3bfffff;613028016682958847;-1;8;green
67;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bbb33fffff;613028016674570239;-1;8;green
68;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bb865fffff;613028015921692671;-1;8;green
69;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bb867fffff;613028015923789823;-1;8;green
70;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bb863fffff;613028015919595519;-1;8;green
71;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bb80dfffff;613028015829417983;-1;8;green
72;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bb847fffff;613028015890235391;-1;8;green
73;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bb841fffff;613028015883943935;-1;8;green
74;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bb84dfffff;613028015896526847;-1;8;green
75;ITA;Rinella;ITRIN;38.546404;14.828765;881e9bbb1bfffff;613028016649404415;-1;8;green
76;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f350947fffff;613601501666869247;-1;8;green
77;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f350945fffff;613601501664772095;-1;8;green
78;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f35096bfffff;613601501704617983;-1;8;green
79;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f35090dfffff;613601501606051839;-1;8;green
80;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f350909fffff;613601501601857535;-1;8;green
81;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f350943fffff;613601501662674943;-1;8;green
82;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f350941fffff;613601501660577791;-1;8;green
83;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f35094dfffff;613601501673160703;-1;8;green
84;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f355493fffff;613601521879220223;-1;8;green
85;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f350969fffff;613601501702520831;-1;8;green
86;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f350961fffff;613601501694132223;-1;8;green
87;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f350963fffff;613601501696229375;-1;8;green
88;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f350905fffff;613601501597663231;-1;8;green
89;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f350901fffff;613601501593468927;-1;8;green
90;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f35090bfffff;613601501603954687;-1;8;green
91;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f350955fffff;613601501681549311;-1;8;green
92;ITA;Santa Panagia;ITSPA;37.114285;15.251981;883f35095dfffff;613601501689937919;-1;8;green
