Country;Name;UNLocode;Latitude;Longitude;H3_hex_8;H3_int_index_8;H3_ring;H3_res
IT;OFFSHORE_44;ITP044;37,032157;14,26955;883f3476d9fffff;613601462355755007;2;8
IT;OFFSHORE_45;ITP045;43,040959;13,926435;881e85043bfffff;613026455730782207;2;8
IT;OFFSHORE_13;ITP013;44,322576;13,407327;881ea3b58bfffff;613028564903657471;2;8
IT;OFFSHORE_33;ITP033;36,926058;13,805449;883f344439fffff;613601448741044223;2;8
IT;OFFSHORE_46;ITP046;44,4414;12,425767;881ea064c5fffff;613028337071161343;2;8
IT;OFFSHORE_47;ITP047;43,197901;13,923748;881e85ab3dfffff;613026500504977407;2;8
IT;OFFSHORE_48;ITP048;44,689101;12,847421;881ea02591fffff;613028320115687423;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601448887844863;2;8
IT;OFFSHORE_49;ITP049;44,407508;12,662225;881ea3824dfffff;613028555005100031;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601448952856575;2;8
IT;OFFSHORE_50;ITP050;42,203712;14,970746;881e8132c7fffff;613026193345609727;2;8
IT;OFFSHORE_51;ITP051;43,095985;14,017133;881e853345fffff;613026468389191679;2;8
IT;OFFSHORE_34;ITP034;44,368498;12,576432;881ea39a9dfffff;613028557660094463;2;8
IT;OFFSHORE_52;ITP052;42,897839;14,246376;881e8521c3fffff;613026463699959807;2;8
IT;OFFSHORE_53;ITP053;44,076859;13,781867;881eaec13dfffff;613029323965726719;2;8
IT;OFFSHORE_1;ITP001;44,511732;12,359708;881ea06655fffff;613028337415094271;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601448768307199;2;8
IT;OFFSHORE_42;ITP042;44,21278;12,705338;881ea388d9fffff;613028553415458815;2;8
IT;OFFSHORE_54;ITP054;44,108865;13,648827;881eaed8edfffff;613029330324291583;2;8
IT;OFFSHORE_6;ITP006;44,348645;12,588894;881ea3836dfffff;613028551450427391;2;8
IT;OFFSHORE_17;ITP017;44,385039;12,579063;881ea39adbfffff;613028557748174847;2;8
IT;OFFSHORE_14;ITP014;36,936642;13,732618;883f344731fffff;613601449072394239;2;8
IT;OFFSHORE_55;ITP055;44,509292;12,373913;881ea0661dfffff;613028337421385727;2;8
IT;OFFSHORE_44;ITP044;37,032157;14,26955;883f3476d9fffff;613601445809225727;2;8
IT;OFFSHORE_1;ITP001;44,511732;12,359708;881ea06655fffff;613028337431871487;2;8
IT;OFFSHORE_33;ITP033;36,926058;13,805449;883f344439fffff;613601448711684095;2;8
IT;OFFSHORE_53;ITP053;44,076859;13,781867;881eaec13dfffff;613029323936366591;2;8
IT;OFFSHORE_2;ITP002;44,486994;12,531443;881ea39357fffff;613028555728617471;2;8
IT;OFFSHORE_38;ITP038;42,648861;14,170126;881e819149fffff;613026219218173951;2;8
IT;OFFSHORE_56;ITP056;39,058611;17,165078;883f242b6bfffff;613600342600318975;2;8
IT;OFFSHORE_57;ITP057;43,827416;13,863461;881eae51c3fffff;613029294041464831;2;8
IT;OFFSHORE_58;ITP058;42,22899;14,607395;881e811589fffff;613026185498066943;2;8
IT;OFFSHORE_52;ITP052;42,897839;14,246376;881e8521c3fffff;613026463672696831;2;8
IT;OFFSHORE_59;ITP059;44,391353;12,560244;881ea39ad9fffff;613028555158192127;2;8
IT;OFFSHORE_28;ITP028;44,523055;12,510533;881ea029b9fffff;613028321225080831;2;8
IT;OFFSHORE_1;ITP001;44,511732;12,359708;881ea06655fffff;613028337402511359;2;8
IT;OFFSHORE_55;ITP055;44,509292;12,373913;881ea0661dfffff;613028337425580031;2;8
IT;OFFSHORE_1;ITP001;44,511732;12,359708;881ea06655fffff;613028337471717375;2;8
IT;OFFSHORE_34;ITP034;44,368498;12,576432;881ea39a9dfffff;613028557655900159;2;8
IT;OFFSHORE_60;ITP060;44,56644;12,881495;881ea15915fffff;613028402693144575;2;8
IT;OFFSHORE_6;ITP006;44,348645;12,588894;881ea3836dfffff;613028557704134655;2;8
IT;OFFSHORE_44;ITP044;37,032157;14,26955;883f3476d9fffff;613601462336880639;2;8
IT;OFFSHORE_61;ITP061;44,475986;12,453451;881ea066bbfffff;613028337553506303;2;8
IT;OFFSHORE_25;ITP025;44,39535;12,44372;881ea39a4dfffff;613028557586694143;2;8
IT;OFFSHORE_62;ITP062;43,041377;14,00114;881e850495fffff;613026455825154047;2;8
IT;OFFSHORE_17;ITP017;44,385039;12,579063;881ea39adbfffff;613028557678968831;2;8
IT;OFFSHORE_63;ITP063;42,610534;14,168514;881e819129fffff;613026218683400191;2;8
IT;OFFSHORE_28;ITP028;44,523055;12,510533;881ea029b9fffff;613028321216692223;2;8
IT;OFFSHORE_5;ITP005;36,916622;13,821989;883f3444e5fffff;613601449210806271;2;8
IT;OFFSHORE_28;ITP028;44,523055;12,510533;881ea029b9fffff;613028321220886527;2;8
IT;OFFSHORE_28;ITP028;44,523055;12,510533;881ea029b9fffff;613028321218789375;2;8
IT;OFFSHORE_6;ITP006;44,348645;12,588894;881ea3836dfffff;613028557706231807;2;8
IT;OFFSHORE_55;ITP055;44,509292;12,373913;881ea0661dfffff;613028337429774335;2;8
IT;OFFSHORE_64;ITP064;36,540638;14,625491;883f308899fffff;613601192307589119;2;8
IT;OFFSHORE_50;ITP050;42,203712;14,970746;881e8132c7fffff;613026193385455615;2;8
